brand,family,nickname,model_full,com_1,com_2,com_3,语言,安装方式,支架,power,防爆等级,外壳,信号协议
FT,FT-210,210,FT210HA100000A,RTU_2,TCP|UDP,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA0A0000A,RTU_2,ANALOG,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00E000A,RTU_2,IP,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00F000A,RTU_2,PROFINET,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00P000A,RTU_2,DP,0,中文,防尘式,壁挂支架,AC220V,0,0,A
FT,FT-210,210,FT210TA100020G,RTU_2,TCP|UDP,0,中文,台式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210EA000000A,RTU_2,0,0,中文,隔爆,无支架,AC220V,IIBT6,0,A
FT,FT-210,210,FT210EA100000A,RTU_2,TCP|UDP,0,中文,隔爆,无支架,AC220V,IIBT6,0,A
FT,FT-210,210,FT210EA0A0000A,RTU_2,ANALOG,0,中文,隔爆,无支架,AC220V,IIBT6,0,A
FT,FT-210,210,FT210EA00E000A,RTU_2,IP,0,中文,隔爆,无支架,AC220V,IIBT6,0,A
FT,FT-210,210,FT210EA00F000A,RTU_2,PROFINET,0,中文,隔爆,无支架,AC220V,IIBT6,0,A
FT,FT-210,210,FT210EA00P000A,RTU_2,DP,0,中文,隔爆,无支架,AC220V,IIBT6,0,A
FT,FT-210,210,FT210EA000000D,RTU_2,0,0,中文,隔爆,无支架,DC24V,IIBT6,0,A
FT,FT-210,210,FT210EA100000D,RTU_2,TCP|UDP,0,中文,隔爆,无支架,DC24V,IIBT6,0,A
FT,FT-210,210,FT210EA0A0000D,RTU_2,ANALOG,0,中文,隔爆,无支架,DC24V,IIBT6,0,A
FT,FT-210,210,FT210EA00E000D,RTU_2,IP,0,中文,隔爆,无支架,DC24V,IIBT6,0,A
FT,FT-210,210,FT210EA00F000D,RTU_2,PROFINET,0,中文,隔爆,无支架,DC24V,IIBT6,0,A
FT,FT-210,210,FT210EA00P000D,RTU_2,DP,0,中文,隔爆,无支架,DC24V,IIBT6,0,A
FT,FT-210,210,FT210NA000010A,RTU_2,0,0,中文,二区防爆,壁挂支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA100010A,RTU_2,TCP|UDP,0,中文,二区防爆,壁挂支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA0A0010A,RTU_2,ANALOG,0,中文,二区防爆,壁挂支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00E010A,RTU_2,IP,0,中文,二区防爆,壁挂支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00F010A,RTU_2,PROFINET,0,中文,二区防爆,壁挂支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00P010A,RTU_2,DP,0,中文,二区防爆,壁挂支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA000010D,RTU_2,0,0,中文,二区防爆,壁挂支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA100010D,RTU_2,TCP|UDP,0,中文,二区防爆,壁挂支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA0A0010D,RTU_2,ANALOG,0,中文,二区防爆,壁挂支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00E010D,RTU_2,IP,0,中文,二区防爆,壁挂支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00F010D,RTU_2,PROFINET,0,中文,二区防爆,壁挂支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00P010D,RTU_2,DP,0,中文,二区防爆,壁挂支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA000020A,RTU_2,0,0,中文,二区防爆,立杆支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA100020A,RTU_2,TCP|UDP,0,中文,二区防爆,立杆支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA0A0020A,RTU_2,ANALOG,0,中文,二区防爆,立杆支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00E020A,RTU_2,IP,0,中文,二区防爆,立杆支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00F020A,RTU_2,PROFINET,0,中文,二区防爆,立杆支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00P020A,RTU_2,DP,DP,中文,二区防爆,立杆支架,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA000020D,RTU_2,0,0,中文,二区防爆,立杆支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA100020D,RTU_2,TCP|UDP,0,中文,二区防爆,立杆支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA0A0020D,RTU_2,ANALOG,0,中文,二区防爆,立杆支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00E020D,RTU_2,IP,0,中文,二区防爆,立杆支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00F020D,RTU_2,PROFINET,0,中文,二区防爆,立杆支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00P020D,RTU_2,DP,0,中文,二区防爆,立杆支架,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA000000A,RTU_2,0,0,中文,二区防爆,0,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA100000A,RTU_2,TCP|UDP,0,中文,二区防爆,0,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA0A0000A,RTU_2,ANALOG,0,中文,二区防爆,0,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00E000A,RTU_2,IP,0,中文,二区防爆,0,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00F000A,RTU_2,PROFINET,0,中文,二区防爆,0,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA00P000A,RTU_2,DP,0,中文,二区防爆,0,AC220V,二区IICT5,0,A
FT,FT-210,210,FT210NA000000D,RTU_2,0,0,中文,二区防爆,0,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA100000D,RTU_2,TCP|UDP,0,中文,二区防爆,0,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA0A0000D,RTU_2,ANALOG,0,中文,二区防爆,0,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00E000D,RTU_2,IP,0,中文,二区防爆,0,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00F000D,RTU_2,PROFINET,0,中文,二区防爆,0,DC24V,二区IICT5,0,A
FT,FT-210,210,FT210NA00P000D,RTU_2,DP,0,中文,二区防爆,0,DC24V,二区IICT5,0,A
FT,FT-220,FT220,FT220ATXXA,basic_2,0,0,中文,台式,壁挂支架,AC220V,0,0,A
FT,FT-220,FT220,FT220DTXXA,basic_2,0,0,中文,台式,壁挂支架,AC220V,0,0,A
FT,FT-230,230,FT230HA001A,RTU_2,0,无电池,中文,台式,壁挂支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230HA101A,RTU_2,TCP,无电池,中文,台式,壁挂支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230HAA01A,RTU_2,ANALOG,无电池,中文,台式,壁挂支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230HA002A,RTU_2,0,无电池,中文,台式,立杆支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230HA102A,RTU_2,TCP,无电池,中文,台式,立杆支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230HAA02A,RTU_2,ANALOG,无电池,中文,台式,立杆支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230HA012A,RTU_2,0,8.4V锂电池,中文,台式,立杆支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230HA112A,RTU_2,TCP,8.4V锂电池,中文,台式,立杆支架,AC220V,0,不锈钢大外壳,A
FT,FT-230,230,FT230TA002A,RTU_2,0,无电池,中文,台式,立杆支架,AC220V,0,不锈钢小外壳,A
FT,FT-230,230,FT230TA102A,RTU_2,TCP,无电池,中文,台式,立杆支架,AC220V,0,不锈钢小外壳,A
FT,FT-230,230,FT230TAA02A,RTU_2,ANALOG,无电池,中文,台式,立杆支架,AC220V,0,不锈钢小外壳,A
FT,FT-230,230,FT230TA012A,RTU_2,0,8.4V锂电池,中文,台式,立杆支架,AC220V,0,不锈钢小外壳,A
FT,FT-230,230,FT230TA112A,RTU_2,TCP,8.4V锂电池,中文,台式,立杆支架,AC220V,0,不锈钢小外壳,A
FT,FT-230,230,FT230NA001A,RTU_2,0,无电池,中文,二区防爆,壁挂支架,AC220V,IICT6,不锈钢外壳,A
FT,FT-230,230,FT230NA101A,RTU_2,TCP,无电池,中文,二区防爆,壁挂支架,AC220V,IICT6,不锈钢外壳,A
FT,FT-230,230,FT230NAA01A,RTU_2,ANALOG,无电池,中文,二区防爆,壁挂支架,AC220V,IICT6,不锈钢外壳,A
FT,FT-230,230,FT230NA002A,RTU_2,0,无电池,中文,二区防爆,立杆支架,AC220V,IICT6,不锈钢外壳,A
FT,FT-230,230,FT230NA102A,RTU_2,TCP,无电池,中文,二区防爆,立杆支架,AC220V,IICT6,不锈钢外壳,A
FT,FT-230,230,FT230NAA02A,RTU_2,ANALOG,无电池,中文,二区防爆,立杆支架,AC220V,IICT6,不锈钢外壳,A
FT,DAD 14,DAD14,DAD 143.2,RS232,PROFINET|IP|CAT|TCP,0,数码管带按键,导轨式,壁挂支架,DC10~30V,0,0,A
FT,DAD 14,DAD14,DAD 142.2,RS485|422,DP,0,数码管带按键,导轨式,壁挂支架,DC10~30V,0,0,A
FT,FT-210,210,FT210PA000000A,RTU_2,0,0,中文,面板式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210PA100000A,RTU_2,TCP|UDP,0,中文,面板式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210PA0A0000A,RTU_2,ANALOG,0,中文,面板式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210PA00E000A,RTU_2,IP,0,中文,面板式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210PA00F000A,RTU_2,PROFINET,0,中文,面板式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210PA00P000A,RTU_2,DP,0,中文,面板式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210PA000000D,RTU_2,0,0,中文,面板式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210PA100000D,RTU_2,TCP|UDP,0,中文,面板式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210PA0A0000D,RTU_2,ANALOG,0,中文,面板式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210PA00E000D,RTU_2,IP,0,中文,面板式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210PA00F000D,RTU_2,PROFINET,0,中文,面板式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210PA00P000D,RTU_2,DP,0,中文,面板式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210DA000000D,RTU_2,0,0,中文,导轨式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210DA100000D,RTU_2,TCP|UDP,0,中文,导轨式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210DA0A0000D,RTU_2,ANALOG,0,中文,导轨式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210DA00E000D,RTU_2,IP,0,中文,导轨式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210DA00F000D,RTU_2,PROFINET,0,中文,导轨式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210DA00P000D,RTU_2,DP,0,中文,导轨式,立杆支架,DC24V,0,0,A
FT,FT-210,210,FT210HA000000A,RTU_2,0,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA100000A,RTU_2,TCP|UDP,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA0A0000A,RTU_2,ANALOG,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00E000A,RTU_2,IP,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00F000A,RTU_2,PROFINET,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,FT-210,210,FT210HA00P000A,RTU_2,DP,0,中文,防尘式,立杆支架,AC220V,0,0,A
FT,DAD 14,DAD14,DAD 143.2,RS232,PROFINET|IP|CAT|TCP,0,数码管带按键,导轨式,立杆支架,DC10~30V,0,0,A
FT,DAD 14,DAD14,DAD 142.2,RS485|422,DP,0,数码管带按键,导轨式,立杆支架,DC10~30V,0,0,A
FT,FT-220,FT220,FT220ATXXA,basic_2,0,0,中文,台式,立杆支架,AC220V,0,0,A
FT,FT-220,FT220,FT220DTXXA,basic_2,0,0,中文,台式,立杆支架,AC220V,0,0,A
