family型号,capacity容量,Mtl材质,安装方式,Y值,AC准确度等级,IP防护等级,EX防爆等级,安装孔距,Seal密封方式,线制
SB5,5099,17-4PH-SS,盲孔安装,11000,C3,IP67,EXiaIICT6,40,胶封,4
RC3,7500,17-4PH-SS,0,15000,C3,IP68,0,89,激光封焊,4
RC3,15000,17-4PH-SS,0,15000,C3,IP68,0,89,激光封焊,4
RC3,22500,17-4PH-SS,0,15000,C3,IP68,0,89,激光封焊,4
RC3,30000,17-4PH-SS,0,15000,C3,IP68,0,140,激光封焊,4
RC3,40000,17-4PH-SS,0,15000,C3,IP68,0,150,激光封焊,4
RC3,50000,17-4PH-SS,0,15000,C3,IP68,0,178,激光封焊,4
RC3,7500,17-4PH-SS,0,15000,C3,IP68,EXiaIICT6,89,激光封焊,4
RC3,15000,17-4PH-SS,0,15000,C3,IP68,EXiaIICT6,89,激光封焊,4
RC3,22500,17-4PH-SS,0,15000,C3,IP68,EXiaIICT6,89,激光封焊,4
RC3,30000,17-4PH-SS,0,15000,C3,IP68,EXiaIICT6,140,激光封焊,4
RC3,40000,17-4PH-SS,0,15000,C3,IP68,EXiaIICT6,150,激光封焊,4
RC3,50000,17-4PH-SS,0,15000,C3,IP68,EXiaIICT6,178,激光封焊,4
SB8,10,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,20,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,30,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,50,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,100,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,200,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,250,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,500,17-4PH-SS,0,10000,C3,IP68,0,18,激光封焊,6
SB8,10,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB8,20,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB8,30,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB8,50,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB8,100,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB8,200,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB8,250,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB8,500,17-4PH-SS,0,10000,C3,IP68,EXiaIICT6,18,激光封焊,6
SB6,20,17-4PH-SS,0,10200,C3,IP68,0,18,激光封焊,4
SB6,20,17-4PH-SS,0,20400,C3,IP68,0,18,激光封焊,4
SB6,50,17-4PH-SS,0,10200,C3,IP68,0,18,激光封焊,4
SB6,50,17-4PH-SS,0,20400,C3,IP68,0,18,激光封焊,4
SB6,100,17-4PH-SS,0,10200,C3,IP68,0,18,激光封焊,4
SB6,100,17-4PH-SS,0,20400,C3,IP68,0,18,激光封焊,4
SB6,200,17-4PH-SS,0,10200,C3,IP68,0,18,激光封焊,4
SB6,200,17-4PH-SS,0,20400,C3,IP68,0,18,激光封焊,4
SB6,20,17-4PH-SS,0,10200,C3,IP68,EXiaIICT6,18,激光封焊,4
SB6,20,17-4PH-SS,0,20400,C3,IP68,EXiaIICT6,18,激光封焊,4
SB6,50,17-4PH-SS,0,10200,C3,IP68,EXiaIICT6,18,激光封焊,4
SB6,50,17-4PH-SS,0,20400,C3,IP68,EXiaIICT6,18,激光封焊,4
SB6,100,17-4PH-SS,0,10200,C3,IP68,EXiaIICT6,18,激光封焊,4
SB6,100,17-4PH-SS,0,20400,C3,IP68,EXiaIICT6,18,激光封焊,4
SB6,200,17-4PH-SS,0,10200,C3,IP68,EXiaIICT6,18,激光封焊,4
SB6,200,17-4PH-SS,0,20400,C3,IP68,EXiaIICT6,18,激光封焊,4
