具体型号,型批型号,品牌,kg量程,台面尺寸,材质,细分品种,防爆,g分度值
FTBR-S-060-5060-E,TCS-60kg EX,FT,60,500x600,S,电子台秤,1,20
FTBR-HC-060-5060-E,TCS-60kg EX,FT,60,500x600,HC,高精度电子台秤,1,10
FTBR-HS-060-5060-E,TCS-60kg EX,FT,60,500x600,HS,高精度电子台秤,1,10
FTBR-C-150-4050,TCS-150kg,FT,150,400x500,C,电子台秤,0,50
FTBR-S-150-4050,TCS-150kg,FT,150,400x500,S,电子台秤,0,50
FTBR-HC-150-4050,TCS-150kg,FT,150,400x500,HC,高精度电子台秤,0,20
FTBR-HS-150-4050,TCS-150kg,FT,150,400x500,HS,高精度电子台秤,0,20
FTBR-C-150-4660,TCS-150kg,FT,150,460x600,C,电子台秤,0,50
FTBR-S-150-4660,TCS-150kg,FT,150,460x600,S,电子台秤,0,50
FTBR-HC-150-4660,TCS-150kg,FT,150,460x600,HC,高精度电子台秤,0,20
FTBR-HS-150-4660,TCS-150kg,FT,150,460x600,HS,高精度电子台秤,0,20
FTBR-C-150-5060,TCS-150kg,FT,150,500x600,C,电子台秤,0,50
FTBR-S-150-5060,TCS-150kg,FT,150,500x600,S,电子台秤,0,50
FTBR-HC-150-5060,TCS-150kg,FT,150,500x600,HC,高精度电子台秤,0,20
FTBR-HS-150-5060,TCS-150kg,FT,150,500x600,HS,高精度电子台秤,0,20
FTBR-C-150-4050-E,TCS-150kg EX,FT,150,400x500,C,电子台秤,1,50
FTBR-S-150-4050-E,TCS-150kg EX,FT,150,400x500,S,电子台秤,1,50
FTBR-HC-150-4050-E,TCS-150kg EX,FT,150,400x500,HC,高精度电子台秤,1,20
FTBR-HS-150-4050-E,TCS-150kg EX,FT,150,400x500,HS,高精度电子台秤,1,20
FTBR-C-150-4660-E,TCS-150kg EX,FT,150,460x600,C,电子台秤,1,50
FTBR-S-150-4660-E,TCS-150kg EX,FT,150,460x600,S,电子台秤,1,50
FTBR-HC-150-4660-E,TCS-150kg EX,FT,150,460x600,HC,高精度电子台秤,1,20
FTBR-HS-150-4660-E,TCS-150kg EX,FT,150,460x600,HS,高精度电子台秤,1,20
FTBR-C-150-5060-E,TCS-150kg EX,FT,150,500x600,C,电子台秤,1,50
FTBR-S-150-5060-E,TCS-150kg EX,FT,150,500x600,S,电子台秤,1,50
FTBR-HC-150-5060-E,TCS-150kg EX,FT,150,500x600,HC,高精度电子台秤,1,20
FTBR-HS-150-5060-E,TCS-150kg EX,FT,150,500x600,HS,高精度电子台秤,1,20
FTBR-C-300-4660,TCS-300kg,FT,300,460x600,C,电子台秤,0,100
FTBR-S-300-4660,TCS-300kg,FT,300,460x600,S,电子台秤,0,100
FTBR-HC-300-4660,TCS-300kg,FT,300,460x600,HC,高精度电子台秤,0,50
FTBR-HS-300-4660,TCS-300kg,FT,300,460x600,HS,高精度电子台秤,0,50
FTBR-C-300-5060,TCS-300kg,FT,300,500x600,C,电子台秤,0,100
FTBR-S-300-5060,TCS-300kg,FT,300,500x600,S,电子台秤,0,100
FTBR-HC-300-5060,TCS-300kg,FT,300,500x600,HC,高精度电子台秤,0,50
FTBR-HS-300-5060,TCS-300kg,FT,300,500x600,HS,高精度电子台秤,0,50
FTBR-C-300-6080,TCS-300kg,FT,300,600x800,C,电子台秤,0,100
FTBR-S-300-6080,TCS-300kg,FT,300,600x800,S,电子台秤,0,100
FTBR-HC-300-6080,TCS-300kg,FT,300,600x800,HC,高精度电子台秤,0,50
FTBR-HS-300-6080,TCS-300kg,FT,300,600x800,HS,高精度电子台秤,0,50
FTBR-C-300-4660-E,TCS-300kg EX,FT,300,460x600,C,电子台秤,1,100
FTBR-S-300-4660-E,TCS-300kg EX,FT,300,460x600,S,电子台秤,1,100
FTBR-HC-300-4660-E,TCS-300kg EX,FT,300,460x600,HC,高精度电子台秤,1,50
FTBR-HS-300-4660-E,TCS-300kg EX,FT,300,460x600,HS,高精度电子台秤,1,50
FTBR-C-300-5060-E,TCS-300kg EX,FT,300,500x600,C,电子台秤,1,100
FTBR-S-300-5060-E,TCS-300kg EX,FT,300,500x600,S,电子台秤,1,100
FTBR-HC-300-5060-E,TCS-300kg EX,FT,300,500x600,HC,高精度电子台秤,1,50
FTBR-HS-300-5060-E,TCS-300kg EX,FT,300,500x600,HS,高精度电子台秤,1,50
FTBR-C-300-6080-E,TCS-300kg EX,FT,300,600x800,C,电子台秤,1,100
FTBR-S-300-6080-E,TCS-300kg EX,FT,300,600x800,S,电子台秤,1,100
FTBR-HC-300-6080-E,TCS-300kg EX,FT,300,600x800,HC,高精度电子台秤,1,50
FTBR-HS-300-6080-E,TCS-300kg EX,FT,300,600x800,HS,高精度电子台秤,1,50
FTBR-C-600-5060,TCS-600kg,FT,600,500x600,C,电子台秤,0,200
FTBR-S-600-5060,TCS-600kg,FT,600,500x600,S,电子台秤,0,200
FTBR-HC-600-5060,TCS-600kg,FT,600,500x600,HC,高精度电子台秤,0,100
FTBR-HS-600-5060,TCS-600kg,FT,600,500x600,HS,高精度电子台秤,0,100
FTBR-C-600-6080,TCS-600kg,FT,600,600x800,C,电子台秤,0,200
FTBR-S-600-6080,TCS-600kg,FT,600,600x800,S,电子台秤,0,200
FTBR-HC-600-6080,TCS-600kg,FT,600,600x800,HC,高精度电子台秤,0,100
FTBR-HS-600-6080,TCS-600kg,FT,600,600x800,HS,高精度电子台秤,0,100
FTBR-C-600-5060-E,TCS-600kg EX,FT,600,500x600,C,电子台秤,1,200
FTBR-S-600-5060-E,TCS-600kg EX,FT,600,500x600,S,电子台秤,1,200
FTBR-HC-600-5060-E,TCS-600kg EX,FT,600,500x600,HC,高精度电子台秤,1,100
FTBR-HS-600-5060-E,TCS-600kg EX,FT,600,500x600,HS,高精度电子台秤,1,100
FTBR-C-600-6080-E,TCS-600kg EX,FT,600,600x800,C,电子台秤,1,200
FTBR-S-600-6080-E,TCS-600kg EX,FT,600,600x800,S,电子台秤,1,200
FTBR-HC-600-6080-E,TCS-600kg EX,FT,600,600x800,HC,高精度电子台秤,1,100
FTBR-HS-600-6080-E,TCS-600kg EX,FT,600,600x800,HS,高精度电子台秤,1,100
AWBR-C-003-2430,TCS-3kg,AW,3,240x300,C,电子台秤,0,1
AWBR-S-003-2430,TCS-3kg,AW,3,240x300,S,电子台秤,0,1
AWBR-HC-003-2430,TCS-3kg,AW,3,240x300,HC,高精度电子台秤,0,0.5
AWBR-HS-003-2430,TCS-3kg,AW,3,240x300,HS,高精度电子台秤,0,0.5
AWBR-C-003-3040,TCS-3kg,AW,3,300x400,C,电子台秤,0,1
AWBR-S-003-3040,TCS-3kg,AW,3,300x400,S,电子台秤,0,1
AWBR-HC-003-3040,TCS-3kg,AW,3,300x400,HC,高精度电子台秤,0,0.5
AWBR-HS-003-3040,TCS-3kg,AW,3,300x400,HS,高精度电子台秤,0,0.5
AWBR-C-003-2430-E,TCS-3kg EX,AW,3,240x300,C,电子台秤,1,1
AWBR-S-003-2430-E,TCS-3kg EX,AW,3,240x300,S,电子台秤,1,1
AWBR-HC-003-2430-E,TCS-3kg EX,AW,3,240x300,HC,高精度电子台秤,1,0.5
AWBR-HS-003-2430-E,TCS-3kg EX,AW,3,240x300,HS,高精度电子台秤,1,0.5
AWBR-C-003-3040-E,TCS-3kg EX,AW,3,300x400,C,电子台秤,1,1
AWBR-S-003-3040-E,TCS-3kg EX,AW,3,300x400,S,电子台秤,1,1
AWBR-HC-003-3040-E,TCS-3kg EX,AW,3,300x400,HC,高精度电子台秤,1,0.5
AWBR-HS-003-3040-E,TCS-3kg EX,AW,3,300x400,HS,高精度电子台秤,1,0.5
AWBR-C-006-2430,TCS-6kg,AW,6,240x300,C,电子台秤,0,2
AWBR-S-006-2430,TCS-6kg,AW,6,240x300,S,电子台秤,0,2
AWBR-HC-006-2430,TCS-6kg,AW,6,240x300,HC,高精度电子台秤,0,1
AWBR-HS-006-2430,TCS-6kg,AW,6,240x300,HS,高精度电子台秤,0,1
AWBR-C-006-3040,TCS-6kg,AW,6,300x400,C,电子台秤,0,2
AWBR-S-006-3040,TCS-6kg,AW,6,300x400,S,电子台秤,0,2
AWBR-HC-006-3040,TCS-6kg,AW,6,300x400,HC,高精度电子台秤,0,1
AWBR-HS-006-3040,TCS-6kg,AW,6,300x400,HS,高精度电子台秤,0,1
AWBR-C-006-2430-E,TCS-6kg EX,AW,6,240x300,C,电子台秤,1,2
AWBR-S-006-2430-E,TCS-6kg EX,AW,6,240x300,S,电子台秤,1,2
AWBR-HC-006-2430-E,TCS-6kg EX,AW,6,240x300,HC,高精度电子台秤,1,1
AWBR-HS-006-2430-E,TCS-6kg EX,AW,6,240x300,HS,高精度电子台秤,1,1
AWBR-C-006-3040-E,TCS-6kg EX,AW,6,300x400,C,电子台秤,1,2
AWBR-S-006-3040-E,TCS-6kg EX,AW,6,300x400,S,电子台秤,1,2
AWBR-HC-006-3040-E,TCS-6kg EX,AW,6,300x400,HC,高精度电子台秤,1,1
AWBR-HS-006-3040-E,TCS-6kg EX,AW,6,300x400,HS,高精度电子台秤,1,1
AWBR-C-015-2430,TCS-15kg,AW,15,240x300,C,电子台秤,0,5
AWBR-S-015-2430,TCS-15kg,AW,15,240x300,S,电子台秤,0,5
AWBR-HC-015-2430,TCS-15kg,AW,15,240x300,HC,高精度电子台秤,0,2
AWBR-HS-015-2430,TCS-15kg,AW,15,240x300,HS,高精度电子台秤,0,2
AWBR-C-015-3040,TCS-15kg,AW,15,300x400,C,电子台秤,0,5
AWBR-S-015-3040,TCS-15kg,AW,15,300x400,S,电子台秤,0,5
AWBR-HC-015-3040,TCS-15kg,AW,15,300x400,HC,高精度电子台秤,0,2
AWBR-HS-015-3040,TCS-15kg,AW,15,300x400,HS,高精度电子台秤,0,2
AWBR-C-015-2430-E,TCS-15kg EX,AW,15,240x300,C,电子台秤,1,5
AWBR-S-015-2430-E,TCS-15kg EX,AW,15,240x300,S,电子台秤,1,5
AWBR-HC-015-2430-E,TCS-15kg EX,AW,15,240x300,HC,高精度电子台秤,1,2
AWBR-HS-015-2430-E,TCS-15kg EX,AW,15,240x300,HS,高精度电子台秤,1,2
AWBR-C-015-3040-E,TCS-15kg EX,AW,15,300x400,C,电子台秤,1,5
AWBR-S-015-3040-E,TCS-15kg EX,AW,15,300x400,S,电子台秤,1,5
AWBR-HC-015-3040-E,TCS-15kg EX,AW,15,300x400,HC,高精度电子台秤,1,2
AWBR-HS-015-3040-E,TCS-15kg EX,AW,15,300x400,HS,高精度电子台秤,1,2
AWBR-C-030-2430,TCS-30kg,AW,30,240x300,C,电子台秤,0,10
AWBR-S-030-2430,TCS-30kg,AW,30,240x300,S,电子台秤,0,10
AWBR-HC-030-2430,TCS-30kg,AW,30,240x300,HC,高精度电子台秤,0,5
AWBR-HS-030-2430,TCS-30kg,AW,30,240x300,HS,高精度电子台秤,0,5
AWBR-C-030-3040,TCS-30kg,AW,30,300x400,C,电子台秤,0,10
AWBR-S-030-3040,TCS-30kg,AW,30,300x400,S,电子台秤,0,10
AWBR-HC-030-3040,TCS-30kg,AW,30,300x400,HC,高精度电子台秤,0,5
AWBR-HS-030-3040,TCS-30kg,AW,30,300x400,HS,高精度电子台秤,0,5
AWBR-C-030-4050,TCS-30kg,AW,30,400x500,C,电子台秤,0,10
AWBR-S-030-4050,TCS-30kg,AW,30,400x500,S,电子台秤,0,10
AWBR-HC-030-4050,TCS-30kg,AW,30,400x500,HC,高精度电子台秤,0,5
AWBR-HS-030-4050,TCS-30kg,AW,30,400x500,HS,高精度电子台秤,0,5
AWBR-C-030-4660,TCS-30kg,AW,30,460x600,C,电子台秤,0,10
AWBR-S-030-4660,TCS-30kg,AW,30,460x600,S,电子台秤,0,10
AWBR-HC-030-4660,TCS-30kg,AW,30,460x600,HC,高精度电子台秤,0,5
AWBR-HS-030-4660,TCS-30kg,AW,30,460x600,HS,高精度电子台秤,0,5
AWBR-C-030-5060,TCS-30kg,AW,30,500x600,C,电子台秤,0,10
AWBR-S-030-5060,TCS-30kg,AW,30,500x600,S,电子台秤,0,10
AWBR-HC-030-5060,TCS-30kg,AW,30,500x600,HC,高精度电子台秤,0,5
AWBR-HS-030-5060,TCS-30kg,AW,30,500x600,HS,高精度电子台秤,0,5
AWBR-C-030-2430-E,TCS-30kg EX,AW,30,240x300,C,电子台秤,1,10
AWBR-S-030-2430-E,TCS-30kg EX,AW,30,240x300,S,电子台秤,1,10
AWBR-HC-030-2430-E,TCS-30kg EX,AW,30,240x300,HC,高精度电子台秤,1,5
AWBR-HS-030-2430-E,TCS-30kg EX,AW,30,240x300,HS,高精度电子台秤,1,5
AWBR-C-030-3040-E,TCS-30kg EX,AW,30,300x400,C,电子台秤,1,10
AWBR-S-030-3040-E,TCS-30kg EX,AW,30,300x400,S,电子台秤,1,10
AWBR-HC-030-3040-E,TCS-30kg EX,AW,30,300x400,HC,高精度电子台秤,1,5
AWBR-HS-030-3040-E,TCS-30kg EX,AW,30,300x400,HS,高精度电子台秤,1,5
AWBR-C-030-4050-E,TCS-30kg EX,AW,30,400x500,C,电子台秤,1,10
AWBR-S-030-4050-E,TCS-30kg EX,AW,30,400x500,S,电子台秤,1,10
AWBR-HC-030-4050-E,TCS-30kg EX,AW,30,400x500,HC,高精度电子台秤,1,5
AWBR-HS-030-4050-E,TCS-30kg EX,AW,30,400x500,HS,高精度电子台秤,1,5
AWBR-C-030-4660-E,TCS-30kg EX,AW,30,460x600,C,电子台秤,1,10
AWBR-S-030-4660-E,TCS-30kg EX,AW,30,460x600,S,电子台秤,1,10
AWBR-HC-030-4660-E,TCS-30kg EX,AW,30,460x600,HC,高精度电子台秤,1,5
AWBR-HS-030-4660-E,TCS-30kg EX,AW,30,460x600,HS,高精度电子台秤,1,5
AWBR-C-030-5060-E,TCS-30kg EX,AW,30,500x600,C,电子台秤,1,10
AWBR-S-030-5060-E,TCS-30kg EX,AW,30,500x600,S,电子台秤,1,10
AWBR-HC-030-5060-E,TCS-30kg EX,AW,30,500x600,HC,高精度电子台秤,1,5
AWBR-HS-030-5060-E,TCS-30kg EX,AW,30,500x600,HS,高精度电子台秤,1,5
AWBR-C-060-3040,TCS-60kg,AW,60,300x400,C,电子台秤,0,20
AWBR-S-060-3040,TCS-60kg,AW,60,300x400,S,电子台秤,0,20
AWBR-HC-060-3040,TCS-60kg,AW,60,300x400,HC,高精度电子台秤,0,10
AWBR-HS-060-3040,TCS-60kg,AW,60,300x400,HS,高精度电子台秤,0,10
AWBR-C-060-4050,TCS-60kg,AW,60,400x500,C,电子台秤,0,20
AWBR-S-060-4050,TCS-60kg,AW,60,400x500,S,电子台秤,0,20
AWBR-HC-060-4050,TCS-60kg,AW,60,400x500,HC,高精度电子台秤,0,10
AWBR-HS-060-4050,TCS-60kg,AW,60,400x500,HS,高精度电子台秤,0,10
AWBR-C-060-4660,TCS-60kg,AW,60,460x600,C,电子台秤,0,20
AWBR-S-060-4660,TCS-60kg,AW,60,460x600,S,电子台秤,0,20
AWBR-HC-060-4660,TCS-60kg,AW,60,460x600,HC,高精度电子台秤,0,10
AWBR-HS-060-4660,TCS-60kg,AW,60,460x600,HS,高精度电子台秤,0,10
AWBR-C-060-5060,TCS-60kg,AW,60,500x600,C,电子台秤,0,20
AWBR-S-060-5060,TCS-60kg,AW,60,500x600,S,电子台秤,0,20
AWBR-HC-060-5060,TCS-60kg,AW,60,500x600,HC,高精度电子台秤,0,10
AWBR-HS-060-5060,TCS-60kg,AW,60,500x600,HS,高精度电子台秤,0,10
AWBR-C-060-3040-E,TCS-60kg EX,AW,60,300x400,C,电子台秤,1,20
AWBR-S-060-3040-E,TCS-60kg EX,AW,60,300x400,S,电子台秤,1,20
AWBR-HC-060-3040-E,TCS-60kg EX,AW,60,300x400,HC,高精度电子台秤,1,10
AWBR-HS-060-3040-E,TCS-60kg EX,AW,60,300x400,HS,高精度电子台秤,1,10
AWBR-C-060-4050-E,TCS-60kg EX,AW,60,400x500,C,电子台秤,1,20
AWBR-S-060-4050-E,TCS-60kg EX,AW,60,400x500,S,电子台秤,1,20
AWBR-HC-060-4050-E,TCS-60kg EX,AW,60,400x500,HC,高精度电子台秤,1,10
AWBR-HS-060-4050-E,TCS-60kg EX,AW,60,400x500,HS,高精度电子台秤,1,10
AWBR-C-060-4660-E,TCS-60kg EX,AW,60,460x600,C,电子台秤,1,20
AWBR-S-060-4660-E,TCS-60kg EX,AW,60,460x600,S,电子台秤,1,20
AWBR-HC-060-4660-E,TCS-60kg EX,AW,60,460x600,HC,高精度电子台秤,1,10
AWBR-HS-060-4660-E,TCS-60kg EX,AW,60,460x600,HS,高精度电子台秤,1,10
AWBR-C-060-5060-E,TCS-60kg EX,AW,60,500x600,C,电子台秤,1,20
AWBR-S-060-5060-E,TCS-60kg EX,AW,60,500x600,S,电子台秤,1,20
AWBR-HC-060-5060-E,TCS-60kg EX,AW,60,500x600,HC,高精度电子台秤,1,10
AWBR-HS-060-5060-E,TCS-60kg EX,AW,60,500x600,HS,高精度电子台秤,1,10
AWBR-C-150-4050,TCS-150kg,AW,150,400x500,C,电子台秤,0,50
